#,Cadastral Code,X,Y,Name,Address,Property Owner,Land Use Purpose,Access into property,Parking space markings,Tenant Area (Sq.m),# of Tenant Parking,Public Area (Sq.m),# of Public Parking,Public parking price,Distance to Public Transport - Bus,Access to Public Transport - Bus,Distance to Public Transport Metro,Access to Public Transport Merto,Comment 
311,72.12.01.833,479620,4630630,Greenway,"Arsen Oqrojanashvili St., N 8",Trans Garanti Ltd,Service,Yes,Marked,,,,15,Free,within 400m,Bad,beyond 800m,-,
312,01.72.12.143.001,480139.5711,4630789.915,Tbilisi temporary isolation unit,"Avchala St, N 7",State,Government/Police,No,Marked,,36,,,Free,within 400m,Bad,beyond 800m,-,
313,01.11.01.006.119,481398.8946,4630729.17,Neo Glass,"Elefter Andronikashvili St., N 147","""Neo Glass"" LLC",Retail,Yes,Unmarked,,,312,12,Free,within 400m,Bad,beyond 800m,-,Measured only the area where pessinger cars are parked
314,01.11.01.006.092,481318.1079,4630754.615,Agrohub warehouse,"Elefter Andronikashvili St., N 151","LLC ""Mziuri""",Commercial,Yes,Unmarked,1300,50,,,Free,within 400m,Bad,beyond 800m,-,
315,01.13.02.004.098,481829.9736,4625168.829,Near by auto repair shop TVS,"Akaki Beliashvili st., N 104a",Tbilisi Municipality,Commercial,Yes,Unmarked,,,570,21,Free,within 400m,Bad,beyond 800m,-,
316,01.13.02.004.073,481828.2306,4625196.388,Near by auto repair shop TVS,"Akaki Beliashvili st., (area N4/73)","LLC ""Architects and Company""",Commercial,Yes,Unmarked,,,62,3,Free,within 400m,Bad,beyond 800m,-,
317,01.13.02.004.074,481834.7301,4625222.206,Near by auto repair shop TVS,"Akaki Beliashvili st., N 104b","LLC ""KK""",Commercial,Yes,Unmarked,,,870,33,Free,within 400m,Bad,beyond 800m,-,
318,01.13.02.004.038,481845.1387,4625244.558,Near by Alta - Head Office,"Beliashvili st, (area 4/38)","""Alta"" LLC ""Electronic Technologies"" LLC",Commercial,Yes,Marked,,,,10,Free,within 400m,Bad,beyond 800m,-,
319,01.13.02.004.037,481866.5199,4625286.633,Near by Mioni Center,"Akaki Beliashvili St., N 106a","""Electronic Technologies"" LLC",Commercial,Yes,Unmarked,,,628,24,Free,within 400m,Bad,beyond 800m,-,
320,01.13.02.004.035,481845.7889,4625309.13,Near by Mioni Center,"Akaki Beliashvili St., N 106","Gela Drezidze
Gia Zitanishvili
Giorgi Grigalashvili
Davit Archvadze
Irakli Koberidze
LLC ""San Marco""
""Stamba Komi"" LLC",Commercial,Yes,Unmarked,,,1110,42,Free,within 400m,Bad,beyond 800m,-,
321,01.13.02.004.109,481870.1721,4625332.98,Near by Mioni Center,"Akaki Beliashvili St., N 106b","""Electronic Technologies"" LLC",Commercial,Yes,Unmarked,,,335,12,Free,within 400m,Bad,beyond 800m,-,
322,01.13.02.004.110,481872.3809,4625358.319,Near by Mioni Center,"Akaki Beliashvili St., N 106g","Bahman Khadem
Syed Mahmud Seidjalal Aqdam
Seyyed Javad Seidjalal Aqdam",Commercial,Yes,Unmarked,,,780,30,Free,within 400m,Bad,beyond 800m,-,Property just used for car parking (vacant)
323,01.13.02.003.210,481992.1991,4625427.441,"Edesi group, Office shop","Akaki Beliashvili St., N 157","""Edesi Group"" LLC",Retail,Yes,Unmarked,,,980,36,Free,within 400m,Bad,beyond 800m,-,
324,01.13.02.003.022,481956.0442,4625580.824,parking lots front of Karcher Center ,"Akaki Beliashvili St., N 167",unknowen ,Retail,Yes,Marked,,,,7,Free,within 400m,Bad,beyond 800m,-,area is not registered. It is used by a Karcher store.
325,01.72.14.034.610,480560.5329,4624477.443,Tbilisi City Court,"Davit Aghmashenebeli alley, N 64",State,Government/Police,Yes,Marked,,200,,,Free,within 400m,Bad,beyond 800m,-,
326,01.13.01.008.060,481353.8148,4625671.839,Todua Clinic Dighomi,"Givi Jvania St., N 3a","Joint Stock Company ""Gefa""",Hospital & Medical,Yes,Unmarked,,,192,7,Paid,within 400m,Bad,beyond 800m,-,Entry is 3 GEL
327,01.13.01.008.048,481331.8688,4625758.583,Todua Clinic Dighomi,"Givi Jvania St., N 7","JSC ""National Center of Experimental and Clinical Surgery named after K. Eristavi""",Hospital & Medical,Yes,Unmarked,,,3416,192,Free,within 400m,Bad,beyond 800m,-,
328,01.13.01.008.039,481425.9583,4625835.805,Akhali Sitsotskhle,"Givi Jvania St., N 7","JSC ""National Center of Experimental and Clinical Surgery named after K. Eristavi""",Hospital & Medical,Yes,Unmarked,,,1376,58,Free,within 400m,Bad,beyond 800m,-,
329,01.72.14.034.345,480652.3733,4624623.986,Tbilisi Pavilion,"Davit Aghmashenebeli alley, N 68","Partnership ""Aghmashenebeli 2011""",Commercial,Yes,Marked,,,,140,Paid,within 400m,Average,beyond 800m,-,"Entry 3 GEL, next hour 1 GEL"
330,01.10.20.002.275,480708.098,4624663.251,Tbilisi Prosecutor’s Office,"Davit Aghmashenebeli alley, N 70",State,Government/Police,Yes,Marked,,56,,,Free,within 400m,Average,beyond 800m,-,
331,01.72.14.034.660,480677.1195,4624737.791,Kia Georgia,"Davit Aghmashenebeli alley, N 84","""GT Benefits"" LLC",Service industry,Yes,Marked,,22,,12,Free,within 400m,Bad,beyond 800m,-,
332,01.72.14.368.001,480597.1578,4624761.68,Near by Kia Georgia,"Davit Aghmashenebeli alley, N 86","""GT Benefits"" LLC",Service industry,Yes,Unmarked,2350,90,,,Free,within 400m,Bad,beyond 800m,-,
333,01.72.14.034.972,480644.794,4625010.186,Toyota Center,"Davit Aghmashenebeli alley, N 116","""Toyota Center Tbilisi"" LLC",Service industry,Yes,Marked,,,,60,Free,within 400m,Bad,beyond 800m,-,
334,01.72.14.034.150,480721.164,4625158.947,Spanish House,"Davit Aghmashenebeli alley, N 124","Ltd. ""Espano""",Retail,Yes,Marked,,,,16,Free,within 400m,Bad,beyond 800m,-,
